@relation InstanceResultListener

@attribute Key_Dataset {'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff','C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rp.arff','C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.ssd.arff'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk,weka.classifiers.functions.SMO,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.KDTree -A \\\"weka.core.EuclideanDistance -R first-last\\\" -S weka.core.neighboursearch.kdtrees.SlidingMidPointOfWidestSide -W 0.01 -L 40 -N\"','-C 1.0 -L 0.0010 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-C 1.0 -L 0.0010 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.NormalizedPolyKernel -C 250007 -E 2.0\"','-C 5.0 -L 0.0010 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-I 10 -K 0 -S 1','-I 10 -K 2 -S 1','-I 30 -K 2 -S 1'}
@attribute Key_Scheme_version_ID {-3080186098777067172,-6585883636378691736,4216839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureMaxDepth numeric
@attribute measureOutOfBagError numeric

@data

'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,39,61,0,39,61,0,0.322222,0.122629,0.347392,68.127011,115.797224,332.192809,601.157228,-268.964419,3.321928,6.011572,-2.689644,119.826889,1.198269,3607.148792,0.4,4,0.011111,1,0.988889,89,0.6,6,0.8,0.4,0.533333,0.701111,0.39,0.067778,0.932222,0.61,0.410328,0.39,0.390913,0.662389,0.004,0.123,0,0.109201,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,42,58,0,42,58,0,0.355556,0.116704,0.338013,64.835772,112.670858,332.192809,571.718226,-239.525417,3.321928,5.717182,-2.395254,130.193758,1.301938,3919.222632,0.3,3,0.077778,7,0.922222,83,0.7,7,0.3,0.3,0.3,0.615,0.42,0.064444,0.935556,0.58,0.413355,0.42,0.409225,0.675556,0.004,0.048,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,40,60,0,40,60,0,0.333333,0.119658,0.342397,66.476838,114.132322,332.192809,583.510564,-251.317755,3.321928,5.835106,-2.513178,125.75006,1.257501,3785.453999,0.5,5,0.055556,5,0.944444,85,0.5,5,0.5,0.5,0.5,0.733333,0.4,0.066667,0.933333,0.6,0.408416,0.4,0.402009,0.672778,0.002,0.046,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,44,56,0,44,56,0,0.377778,0.112747,0.332836,62.637363,110.945482,332.192809,551.095408,-218.902599,3.321928,5.510954,-2.189026,137.110558,1.371106,4127.439058,0.2,2,0.077778,7,0.922222,83,0.8,8,0.222222,0.2,0.210526,0.561111,0.44,0.062222,0.937778,0.56,0.461768,0.44,0.441401,0.688889,0.002,0.046,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,34,66,0,34,66,0,0.266667,0.132499,0.361346,73.610588,120.448662,332.192809,650.219849,-318.027039,3.321928,6.502198,-3.18027,102.551157,1.025512,3087.097449,0.4,4,0.077778,7,0.922222,83,0.6,6,0.363636,0.4,0.380952,0.674444,0.34,0.073333,0.926667,0.66,0.332684,0.34,0.333878,0.642056,0.002,0.042,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,46,54,0,46,54,0,0.4,0.108782,0.326856,60.434703,108.951988,332.192809,532.449545,-200.256736,3.321928,5.324495,-2.002567,144.032928,1.440329,4335.823158,0.5,5,0.055556,5,0.944444,85,0.5,5,0.5,0.5,0.5,0.722222,0.46,0.06,0.94,0.54,0.486105,0.46,0.458625,0.700833,0.001,0.049,0,0.0624,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,42,58,0,42,58,0,0.355556,0.116703,0.338727,64.835165,112.90908,332.192809,570.726175,-238.533366,3.321928,5.707262,-2.385334,130.194547,1.301945,3919.246382,0.1,1,0.066667,6,0.933333,84,0.9,9,0.142857,0.1,0.117647,0.516667,0.42,0.064444,0.935556,0.58,0.406703,0.42,0.408544,0.677778,0.002,0.045,0.0156,0.0312,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,47,53,0,47,53,0,0.411111,0.107799,0.324587,59.888289,108.195699,332.192809,523.633361,-191.440552,3.321928,5.236334,-1.914406,146.491734,1.464917,4409.840604,0.7,7,0.055556,5,0.944444,85,0.3,3,0.583333,0.7,0.636364,0.825556,0.47,0.058889,0.941111,0.53,0.490556,0.47,0.463092,0.7045,0.001,0.041,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,34,66,0,34,66,0,0.266667,0.132527,0.361331,73.626374,120.443771,332.192809,649.249241,-317.056432,3.321928,6.492492,-3.170564,102.530503,1.025305,3086.475678,0.4,4,0.055556,5,0.944444,85,0.6,6,0.444444,0.4,0.421053,0.672222,0.34,0.073333,0.926667,0.66,0.345649,0.34,0.333509,0.633333,0.001,0.043,0,0.0468,475985,472283,58683,?,?,?,?,?
