@relation InstanceResultListener

@attribute Key_Dataset {'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff','C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rp.arff','C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.ssd.arff'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk,weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.KDTree -A \\\"weka.core.EuclideanDistance -R first-last\\\" -S weka.core.neighboursearch.kdtrees.SlidingMidPointOfWidestSide -W 0.01 -L 40 -N\"','-C 1.0 -L 0.0010 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-C 1.0 -L 0.0010 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.NormalizedPolyKernel -C 250007 -E 2.0\"'}
@attribute Key_Scheme_version_ID {-3080186098777067172,-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureMaxDepth numeric
@attribute measureOutOfBagError numeric

@data

'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,58,12,0,82.857143,17.142857,0,0.803094,0.04507,0.205756,20.725629,62.409035,207.724437,112.680667,95.04377,2.967492,1.609724,1.357768,168.995014,2.414214,5687.671194,0.777778,7,0.032787,2,0.967213,59,0.222222,2,0.777778,0.777778,0.777778,0.872495,0.828571,0.024919,0.975081,0.171429,0.840476,0.828571,0.829692,0.901826,0.004,0.123,0,0.093601,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,60,10,0,85.714286,14.285714,0,0.835681,0.038017,0.187836,17.482247,56.973723,207.724437,94.086834,113.637602,2.967492,1.344098,1.623394,174.910137,2.498716,5886.749686,0.888889,8,0.065574,4,0.934426,57,0.111111,1,0.666667,0.888889,0.761905,0.911658,0.857143,0.020882,0.979118,0.142857,0.868707,0.857143,0.855473,0.91813,0.002,0.029,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,58,12,0,82.857143,17.142857,0,0.803002,0.04507,0.205756,20.725629,62.409035,207.724437,112.680667,95.04377,2.967492,1.609724,1.357768,168.491205,2.407017,5670.715075,1,9,0.032787,2,0.967213,59,0,0,0.818182,1,0.9,0.983607,0.828571,0.024168,0.975832,0.171429,0.834237,0.828571,0.825544,0.902202,0.004,0.027,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,51,19,0,72.857143,27.142857,0,0.687206,0.069755,0.258884,32.063394,78.485038,208.125653,177.75908,30.366573,2.973224,2.539415,0.433808,146.934584,2.099065,4946.255111,0.5,4,0.032258,2,0.967742,60,0.5,4,0.666667,0.5,0.571429,0.733871,0.728571,0.04346,0.95654,0.271429,0.759648,0.728571,0.731795,0.842555,0.002,0.03,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,56,14,0,80,20,0,0.769466,0.052123,0.222235,23.958495,67.374277,208.125653,131.274499,76.851154,2.973224,1.87535,1.097874,161.47253,2.30675,5435.645607,0.75,6,0.032258,2,0.967742,60,0.25,2,0.75,0.75,0.75,0.858871,0.8,0.030469,0.969531,0.2,0.811327,0.8,0.794934,0.884765,0.003,0.031,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,60,10,0,85.714286,14.285714,0,0.835178,0.038017,0.187836,17.474575,56.945647,208.125653,94.086834,114.038819,2.973224,1.344098,1.629126,174.270687,2.489581,5866.46965,1,8,0,0,1,62,0,0,1,1,1,1,0.857143,0.023846,0.976154,0.142857,0.87326,0.857143,0.857367,0.916648,0.001,0.265,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,58,12,0,82.857143,17.142857,0,0.802353,0.04507,0.205756,20.719209,62.387572,208.054205,112.680667,95.373538,2.972203,1.609724,1.362479,168.840572,2.412008,5683.399698,0.875,7,0.032258,2,0.967742,60,0.125,1,0.777778,0.875,0.823529,0.921371,0.828571,0.026511,0.973489,0.171429,0.842029,0.828571,0.826363,0.90103,0.002,0.037,0,0.0156,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,58,12,0,82.857143,17.142857,0,0.803233,0.04507,0.205756,20.709052,62.353102,208.401779,112.680667,95.721112,2.977168,1.609724,1.367444,170.14446,2.430635,5728.370987,0.888889,8,0.032787,2,0.967213,59,0.111111,1,0.8,0.888889,0.842105,0.928051,0.828571,0.025115,0.974885,0.171429,0.838285,0.828571,0.827627,0.901728,0.002,0.029,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,629,69,51,18,0,73.913043,26.086957,0,0.699492,0.067146,0.253802,30.880506,76.990948,204.706324,168.485711,36.220613,2.966758,2.441822,0.524936,145.930014,2.114928,4911.274018,0.777778,7,0.033333,2,0.966667,58,0.222222,2,0.777778,0.777778,0.777778,0.872222,0.73913,0.03914,0.96086,0.26087,0.746256,0.73913,0.735893,0.849995,0.003,0.025,0,0.0312,335828,332142,42622,?,?,?,?,?
